category,total_videos,total_views,avg_views,avg_engagement_rate,viral_videos,pct_of_total_views
Comedy,90,350599462,3895549.577777778,3.467916666666667,45,19.206439927217605
Education,56,458612877,8189515.660714285,2.3711017857142855,28,25.12360008113457
Finance,80,306757433,3834467.9125,3.6591825,45,16.804698374414446
Fitness,54,536866984,9941981.185185185,3.716724074074074,34,29.410494295346336
Gaming,73,150135455,2056650.0684931506,1.9211876712328768,18,8.22467775892646
Tech,100,22454382,224543.82,3.447892,5,1.230089562960585
